epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.0010000000474974513,0.9923951029777527,0.8303309679031372,0.9961903095245361,0.9403592348098755,0.8132883310317993,0.9697211980819702
1,0.0010000000474974513,0.9448086619377136,0.8141100406646729,0.9720126986503601,0.9560900926589966,0.8051778078079224,0.977798581123352
2,0.0010000000474974513,0.9419329166412354,0.8127697706222534,0.9705322980880737,0.953137218952179,0.814331591129303,0.9762874245643616
3,0.0010000000474974513,0.9403212666511536,0.8121427297592163,0.9697016477584839,0.9413003325462341,0.8147222399711609,0.9702063202857971
4,0.0010000000474974513,0.9383792281150818,0.810892641544342,0.9686997532844543,0.9541798830032349,0.8069695234298706,0.9768213033676147
5,0.0005000000237487257,0.935478925704956,0.809665858745575,0.9672015905380249,0.9298292994499207,0.8061217665672302,0.9642765522003174
6,0.0005000000237487257,0.9343515038490295,0.808672308921814,0.9666185975074768,0.9264135360717773,0.7969755530357361,0.9625037908554077
7,0.0005000000237487257,0.9333593249320984,0.8082371354103088,0.9661052227020264,0.9241270422935486,0.8009647130966187,0.9613152742385864
8,0.0005000000237487257,0.93327796459198,0.8084560632705688,0.9660630822181702,0.9301910400390625,0.7971893548965454,0.9644641280174255
9,0.0005000000237487257,0.9328600764274597,0.8079676032066345,0.9658467769622803,0.9380555152893066,0.800247311592102,0.9685326218605042
10,0.0005000000237487257,0.9318473935127258,0.8076414465904236,0.9653224349021912,0.93059241771698,0.7987529039382935,0.9646721482276917
11,0.0005000000237487257,0.9312443137168884,0.8071558475494385,0.9650099873542786,0.9438978433609009,0.7996575832366943,0.9715440273284912
12,0.0002500000118743628,0.9300722479820251,0.8064612746238708,0.9644024968147278,0.9201619625091553,0.7952184081077576,0.9592507481575012
13,0.0002500000118743628,0.928817093372345,0.805790901184082,0.9637515544891357,0.9193190336227417,0.7960668802261353,0.9588112831115723
14,0.0002500000118743628,0.9285801649093628,0.8055170178413391,0.9636286497116089,0.9227539300918579,0.7969667315483093,0.9606007933616638
15,0.0002500000118743628,0.928716778755188,0.8059322834014893,0.9636995196342468,0.9199868440628052,0.7949058413505554,0.9591594338417053
16,0.0002500000118743628,0.9279254674911499,0.8052942156791687,0.9632888436317444,0.9199361801147461,0.795928418636322,0.9591330289840698
17,0.0002500000118743628,0.9281110167503357,0.8053470849990845,0.9633851647377014,0.9201987981796265,0.7964040040969849,0.9592699408531189
18,0.0001250000059371814,0.9272326827049255,0.8049098253250122,0.9629291892051697,0.9190205335617065,0.7953425645828247,0.958655595779419
19,0.0001250000059371814,0.9261126518249512,0.8043607473373413,0.9623474478721619,0.9194278717041016,0.7955165505409241,0.9588680267333984
20,0.0001250000059371814,0.9258818626403809,0.8043222427368164,0.9622275233268738,0.9206957221031189,0.7966923713684082,0.959528923034668
21,0.0001250000059371814,0.9250204563140869,0.8036192059516907,0.9617798328399658,0.9196250438690186,0.7945929169654846,0.958970844745636
22,0.0001250000059371814,0.925920844078064,0.8041334748268127,0.9622477889060974,0.9196368455886841,0.7948185801506042,0.9589769840240479
23,6.25000029685907e-05,0.9243119955062866,0.8034971356391907,0.9614114761352539,0.919496476650238,0.7957360148429871,0.9589037895202637
24,6.25000029685907e-05,0.9246602654457092,0.8033734560012817,0.9615925550460815,0.9197540283203125,0.7960838675498962,0.9590380787849426
25,6.25000029685907e-05,0.9244288206100464,0.8032641410827637,0.96147221326828,0.9199138879776001,0.7957295179367065,0.9591214060783386
26,6.25000029685907e-05,0.9238514304161072,0.8028941750526428,0.9611718654632568,0.9196801781654358,0.7952873706817627,0.9589995741844177
